"sigla_fiscal","ano_mes","notif_total","num_RMO","aux_viagens_totais","classe_1","classe_2","classe_3","classe_4","classe_5","classe_6","classe_7","classe_8"
"MMM","2020/02",66,53,0,0,0,0,4,0,3,41,5
"MPS","2020/02",13,21,7,2,0,6,3,1,4,0,1
"MRS","2020/02",78,154,121,0,1,46,70,1,16,2,18
"MZA","2020/02",62,86,83,0,5,18,5,3,31,2,22
"RDB","2020/02",18,17,0,0,1,0,16,0,0,0,0
"RNN","2020/02",45,92,81,0,12,18,14,4,20,0,24
"RRC","2020/02",192,348,298,0,1,156,157,3,17,9,5
"TOS","2020/02",17,64,61,0,0,14,4,1,28,1,16
"TSF","2020/02",89,66,0,0,0,1,2,0,19,43,1
"VBS","2020/02",112,124,6,3,91,6,0,3,18,2,1
"AAR","2020/03",55,92,49,0,4,11,4,21,40,4,8
"ADO","2020/03",247,506,506,0,3,264,226,1,12,0,0
"AEP","2020/03",131,243,0,0,123,0,120,0,0,0,0
"AFL","2020/03",285,259,0,0,32,180,1,0,22,16,8
"AMS","2020/03",114,199,194,0,3,79,98,2,16,1,0
"AMV","2020/03",14,21,21,0,0,9,0,4,7,1,0
"APB","2020/03",337,531,503,0,1,256,186,15,72,1,0
"BBV","2020/03",56,79,0,0,3,17,2,9,43,2,2
"CAC","2020/03",49,97,46,2,8,26,0,12,38,7,4
"CHG","2020/03",99,162,0,5,56,52,2,10,27,10,0
"CPL","2020/03",333,825,602,0,0,490,325,2,8,0,0
"CRC","2020/03",151,186,62,0,106,25,31,4,19,0,0
"DNR","2020/03",175,265,57,0,50,176,0,18,14,7,0
"ENL","2020/03",140,216,94,5,95,46,0,20,47,0,3
"FNB","2020/03",9,9,0,0,9,0,0,0,0,0,0
"FSG","2020/03",148,348,306,0,8,208,115,4,8,5,0
"HFP","2020/03",193,264,52,0,33,204,0,4,23,0,0
"HSS","2020/03",122,294,283,0,9,159,93,4,24,5,0
"IFM","2020/03",103,208,89,0,44,119,35,1,6,2,1
"JAL","2020/03",87,87,0,0,0,0,87,0,0,0,0
"JLM","2020/03",63,112,67,3,22,15,0,24,44,3,1
"JTA","2020/03",102,250,211,0,0,153,92,2,3,0,0
"KPC","2020/03",128,155,47,1,107,23,14,4,2,4,0
"LAF","2020/03",160,358,147,0,51,255,7,34,8,3,0
"LJS","2020/03",60,166,108,0,5,101,27,3,30,0,0
"LMV","2020/03",139,182,172,0,1,47,79,3,48,3,1
"LRR","2020/03",63,103,24,4,33,18,0,5,36,7,0
"MCG","2020/03",203,287,82,0,36,208,3,4,34,2,0
"MEM","2020/03",96,138,76,1,35,19,45,24,12,2,0
"MLS","2020/03",59,150,22,7,24,45,0,36,27,11,0
"MMM","2020/03",191,262,0,0,30,206,0,0,20,6,0
"MPS","2020/03",104,113,0,10,99,2,1,0,0,1,0
"MRS","2020/03",111,191,188,1,1,72,58,8,47,4,0
"MZA","2020/03",159,620,267,0,7,454,143,2,13,1,0
"RDB","2020/03",19,23,0,0,4,0,19,0,0,0,0
"RNN","2020/03",195,247,0,0,30,183,1,14,18,1,0
"RRC","2020/03",106,157,31,0,1,58,11,7,77,1,2
"TOS","2020/03",190,263,47,0,16,230,0,5,9,1,0
"TSF","2020/03",216,258,0,0,36,200,0,1,12,6,3
"VBS","2020/03",197,234,0,1,38,180,0,7,7,1,0
"AAR","2020/04",146,203,3,1,56,144,0,0,2,0,0
"ADO","2020/04",128,162,40,6,29,96,8,0,18,3,2
"AEP","2020/04",119,215,0,0,104,0,111,0,0,0,0
"AFL","2020/04",251,281,0,8,23,246,0,0,2,0,2
"AMS","2020/04",163,175,0,15,0,160,0,0,0,0,0
"AMV","2020/04",228,273,0,18,14,228,0,0,2,11,0
"APB","2020/04",170,242,30,42,30,154,0,2,13,0,0
"BBV","2020/04",172,181,0,0,167,2,0,1,7,4,0
"CAC","2020/04",176,194,0,13,174,0,0,0,4,3,0
"CHG","2020/04",193,252,0,28,45,177,0,2,0,0,0
"CPL","2020/04",178,194,6,1,1,181,6,0,5,0,0
"CRC","2020/04",170,181,1,0,91,90,0,0,0,0,0
"DNR","2020/04",34,57,0,11,31,4,0,4,6,0,1
"ENL","2020/04",227,278,0,23,66,181,0,3,4,1,0
"FNB","2020/04",64,64,0,0,64,0,0,0,0,0,0
"FSG","2020/04",347,381,0,9,28,335,0,1,5,3,0
"HFP","2020/04",111,206,0,62,15,102,0,3,24,0,0
"HSS","2020/04",156,181,0,4,15,148,11,0,2,1,0
"IFM","2020/04",118,206,0,52,30,116,0,0,6,2,0
"JAL","2020/04",15,15,0,0,0,0,15,0,0,0,0
"JLM","2020/04",285,353,0,59,220,73,0,0,1,0,0
"JTA","2020/04",100,213,2,0,94,25,90,1,1,1,1
"KPC","2020/04",209,239,21,18,30,64,106,0,19,2,0
"LAF","2020/04",146,242,0,83,99,60,0,0,0,0,0
"LJS","2020/04",105,124,0,2,32,89,0,0,1,0,0
"LMV","2020/04",219,263,4,2,89,163,0,0,4,2,3
"LRR","2020/04",219,285,0,12,119,150,0,0,0,4,0
"MCG","2020/04",77,87,0,13,30,44,0,0,0,0,0
"MEM","2020/04",230,228,0,1,114,113,0,0,0,0,0
"MLS","2020/04",160,233,0,28,60,111,27,0,4,3,0
"MMM","2020/04",108,142,0,12,22,79,16,1,5,7,0
"MPS","2020/04",4,9,0,5,1,0,3,0,0,0,0
"MRS","2020/04",196,277,0,63,7,202,0,0,3,2,0
"MZA","2020/04",150,184,1,30,2,140,0,0,10,2,0
"RDB","2020/04",14,12,0,0,0,0,12,0,0,0,0
"RNN","2020/04",192,232,0,0,42,175,7,0,2,6,0
"RRC","2020/04",297,332,2,28,20,256,23,0,5,0,0
"TOS","2020/04",49,106,0,49,0,48,0,7,2,0,0
"TSF","2020/04",230,304,0,15,55,224,5,4,1,0,0
"VBS","2020/04",176,206,0,2,27,176,0,0,1,0,0
"AAR","2020/05",80,96,35,0,5,12,0,19,59,1,0
"ADO","2020/05",91,120,75,2,15,26,0,6,68,3,0
"AEP","2020/05",124,226,0,0,107,0,110,2,0,0,7
"AFL","2020/05",145,194,0,31,28,126,0,0,4,4,1
"AMS","2020/05",153,187,0,34,4,149,0,0,0,0,0
"AMV","2020/05",184,189,46,0,0,39,0,12,136,2,0
"APB","2020/05",85,117,84,4,5,33,0,15,59,1,0
"BBV","2020/05",32,80,34,0,1,19,5,7,41,3,1
"CAC","2020/05",71,106,70,0,1,39,0,8,52,3,2
"CHG","2020/05",33,104,48,0,1,54,1,13,30,2,0
"CPL","2020/05",33,177,69,0,7,129,0,10,31,0,0
"CRC","2020/05",67,101,41,2,19,33,1,0,46,0,0
"DNR","2020/05",16,23,1,0,10,1,0,1,8,2,1
"ENL","2020/05",70,143,95,0,5,64,0,14,58,1,0
"FSG","2020/05",153,154,75,0,2,59,1,0,90,2,0
"HFP","2020/05",0,2,0,0,0,0,0,0,1,1,0
"HSS","2020/05",64,196,115,0,17,86,0,37,54,2,0
"IFM","2020/05",82,117,49,0,40,19,0,20,35,3,0
"JAL","2020/05",13,12,0,0,0,0,12,0,0,0,0
"JLM","2020/05",206,235,0,14,40,181,0,0,0,0,0
"JTA","2020/05",71,136,96,0,0,47,6,9,50,23,1
"KPC","2020/05",148,210,210,0,2,71,0,30,99,7,0
"LAF","2020/05",27,109,49,0,0,51,0,16,33,8,1
"LJS","2020/05",90,95,27,0,0,17,0,11,60,6,1
"LMV","2020/05",117,136,109,0,4,26,1,6,95,4,0
"LRR","2020/05",45,92,46,0,3,25,5,10,45,4,0
"MCG","2020/05",158,159,0,1,0,158,0,0,0,0,0
"MEM","2020/05",311,312,0,3,67,242,0,0,0,0,0
"MLS","2020/05",35,88,3,0,1,29,0,5,40,13,0
"MMM","2020/05",75,130,0,32,1,59,0,1,26,11,0
"MPS","2020/05",6,29,9,0,1,0,1,3,4,4,0
"MRS","2020/05",107,224,159,3,0,111,0,17,89,4,0
"MZA","2020/05",115,153,103,0,10,42,1,4,91,5,0
"RNN","2020/05",58,140,117,0,0,35,1,46,47,9,2
"RRC","2020/05",120,151,0,31,0,120,0,0,0,0,0
"TOS","2020/05",99,151,27,21,1,117,0,7,4,1,0
"TSF","2020/05",161,196,0,44,21,129,0,0,2,0,0
"VBS","2020/05",43,103,84,0,1,36,0,20,42,3,0
"AAR","2020/06",77,110,21,0,1,25,0,11,63,10,0
"ADO","2020/06",107,123,67,0,9,27,5,1,73,7,1
"AEP","2020/06",142,218,1,0,86,0,132,0,0,0,0
"AFL","2020/06",118,119,8,11,39,17,2,1,28,19,2
"AMS","2020/06",144,161,0,17,18,126,0,0,0,0,0
"AMV","2020/06",114,188,16,0,1,98,0,8,71,4,6
"APB","2020/06",111,151,125,5,2,58,0,15,67,3,0
"BBV","2020/06",47,85,35,0,1,30,1,5,36,9,1
"CAC","2020/06",62,115,48,0,1,46,0,10,53,5,0
"CHG","2020/06",49,78,23,0,1,23,4,5,40,5,0
"CPL","2020/06",108,179,30,0,0,108,49,0,21,0,1
"CRC","2020/06",74,100,33,0,31,25,0,2,37,1,2
"DNR","2020/06",45,96,61,0,6,21,0,17,46,5,0
"ENL","2020/06",84,99,0,0,15,12,0,15,40,2,15
"FSG","2020/06",125,153,104,0,6,51,0,1,83,12,0
"HFP","2020/06",28,115,79,0,1,68,2,9,33,2,0
"HSS","2020/06",57,152,40,0,45,21,0,33,51,1,0
"IFM","2020/06",43,113,66,0,0,41,8,37,26,1,0
"JAL","2020/06",19,18,0,0,0,0,18,0,0,0,0
"JLM","2020/06",275,285,0,10,107,168,0,0,0,0,0
"JTA","2020/06",42,127,113,0,0,66,0,14,36,10,1
"KPC","2020/06",111,131,131,0,1,43,0,15,71,1,0
"LAF","2020/06",21,111,0,0,7,51,0,17,30,4,1
"LJS","2020/06",82,147,141,0,2,53,0,28,61,3,0
"LMV","2020/06",79,139,137,0,0,61,0,0,74,3,1
"LRR","2020/06",64,90,75,0,2,29,0,2,46,11,0
"MCG","2020/06",174,220,0,46,0,174,0,0,0,0,0
"MEM","2020/06",177,181,0,4,62,115,0,0,0,0,0
"MLS","2020/06",64,130,101,0,2,37,0,22,60,9,0
"MMM","2020/06",49,100,0,2,7,35,0,8,42,6,0
"MPS","2020/06",6,16,0,1,2,5,1,1,0,1,0
"MRS","2020/06",93,178,175,2,2,73,42,9,48,2,0
"MZA","2020/06",89,110,58,4,11,27,0,1,64,2,1
"RNN","2020/06",59,111,76,0,4,26,2,42,22,2,13
"RRC","2020/06",186,211,0,21,102,88,0,0,0,0,0
"TOS","2020/06",47,136,65,38,2,72,1,7,16,0,0
"TSF","2020/06",66,69,0,0,1,12,0,5,27,18,6
"VBS","2020/06",50,78,39,0,2,45,0,3,19,8,1
"AAR","2020/07",3,8,4,0,6,0,0,0,2,0,0
"ADO","2020/07",186,200,38,3,9,100,0,1,85,2,0
"AEP","2020/07",123,213,0,0,93,0,120,0,0,0,0
"AFL","2020/07",147,144,0,19,0,80,0,0,23,17,5
"AMS","2020/07",147,172,0,25,0,147,0,0,0,0,0
"AMV","2020/07",173,190,47,0,5,33,0,2,140,8,2
"APB","2020/07",65,114,52,1,5,34,0,19,53,1,1
"BBV","2020/07",18,19,0,0,0,18,0,0,0,0,1
"CAC","2020/07",121,160,39,0,105,22,0,4,19,9,0
"CHG","2020/07",48,171,52,0,1,88,1,21,51,9,0
"CPL","2020/07",230,381,120,55,192,73,0,19,40,2,0
"CRC","2020/07",15,15,0,0,15,0,0,0,0,0,0
"DNR","2020/07",46,111,47,6,24,20,0,20,28,13,0
"ENL","2020/07",97,174,138,0,12,51,0,14,89,8,0
"FSG","2020/07",225,214,72,7,8,112,0,1,80,5,1
"HFP","2020/07",33,130,41,0,2,75,2,16,31,3,1
"HSS","2020/07",166,309,130,47,110,59,0,35,58,0,0
"IFM","2020/07",101,177,100,13,1,117,24,5,14,3,0
"JAL","2020/07",7,7,0,0,0,0,7,0,0,0,0
"JLM","2020/07",330,366,0,34,2,330,0,0,0,0,0
"JTA","2020/07",57,124,70,0,1,57,3,19,37,6,1
"KPC","2020/07",76,165,165,0,1,64,0,22,61,16,0
"LAF","2020/07",31,110,0,3,4,61,0,25,16,1,0
"LJS","2020/07",106,144,92,0,7,36,0,17,78,5,1
"LMV","2020/07",11,21,19,0,2,10,0,0,9,0,0
"LRR","2020/07",80,147,27,32,16,54,0,4,33,8,0
"MCG","2020/07",230,256,0,30,0,226,0,0,0,0,0
"MEM","2020/07",152,152,0,0,0,152,0,0,0,0,0
"MLS","2020/07",27,119,21,0,6,36,0,43,30,3,0
"MMM","2020/07",94,162,0,35,12,88,0,1,20,6,0
"MPS","2020/07",6,3,2,0,0,1,0,0,1,0,0
"MRS","2020/07",78,122,103,0,4,48,10,4,54,2,0
"MZA","2020/07",5,11,0,5,1,5,0,0,0,0,0
"RNN","2020/07",0,4,0,0,0,2,0,2,0,0,0
"RRC","2020/07",319,355,0,36,171,148,0,0,0,0,0
"TOS","2020/07",93,141,31,17,2,109,0,3,4,5,0
"TSF","2020/07",47,54,0,0,7,1,0,0,46,0,0
"VBS","2020/07",54,88,50,10,22,20,0,6,28,2,0
"AAR","2020/08",95,149,96,0,10,51,2,5,64,0,17
"ADO","2020/08",132,209,195,0,5,46,37,4,84,2,31
"AEP","2020/08",123,201,0,0,80,0,121,0,0,0,0
"AFL","2020/08",96,109,0,5,20,39,0,2,16,24,3
"AMS","2020/08",152,175,0,23,7,145,0,0,0,0,0
"AMV","2020/08",126,186,40,0,0,41,13,9,107,2,13
"APB","2020/08",107,194,186,0,17,60,5,15,70,5,22
"BBV","2020/08",52,82,0,0,5,15,1,12,31,10,5
"CAC","2020/08",52,116,88,0,0,27,0,26,57,5,1
"CHG","2020/08",38,105,48,0,1,50,0,9,40,5,0
"CPL","2020/08",56,153,111,0,6,79,1,11,52,0,4
"CRC","2020/08",54,89,50,1,2,33,0,6,43,1,3
"DNR","2020/08",46,81,22,0,8,21,3,5,36,8,0
"ENL","2020/08",163,276,215,0,3,95,8,16,133,4,16
"FSG","2020/08",126,131,4,7,0,111,0,1,8,4,0
"HFP","2020/08",40,132,91,0,7,40,9,18,50,7,1
"HSS","2020/08",49,185,146,0,26,72,2,22,48,12,3
"IFM","2020/08",52,148,117,0,1,69,22,26,22,8,0
"JAL","2020/08",22,22,0,0,0,0,22,0,0,0,0
"JLM","2020/08",299,319,0,20,18,281,0,0,0,0,0
"JTA","2020/08",34,189,185,0,0,62,7,17,62,40,1
"KPC","2020/08",79,189,189,0,0,61,4,38,74,0,12
"LAF","2020/08",27,144,108,0,4,80,11,5,40,3,0
"LJS","2020/08",66,91,34,0,8,14,1,12,38,2,16
"LMV","2020/08",108,169,169,0,4,59,0,2,95,6,0
"LRR","2020/08",105,138,0,34,0,82,0,3,19,0,0
"MCG","2020/08",242,262,0,25,0,237,0,0,0,0,0
"MEM","2020/08",185,185,0,0,0,185,0,0,0,0,0
"MLS","2020/08",56,159,105,0,6,52,0,41,56,4,0
"MMM","2020/08",46,112,0,0,22,32,0,3,48,6,0
"MPS","2020/08",2,8,2,0,0,7,0,1,0,0,0
"MRS","2020/08",87,156,89,1,2,80,0,6,66,0,0
"MZA","2020/08",94,161,149,0,8,34,27,3,58,4,27
"RNN","2020/08",86,159,159,0,5,35,2,47,70,0,0
"RRC","2020/08",211,241,0,26,75,140,0,0,0,0,0
"TOS","2020/08",86,121,55,1,0,88,3,0,27,2,0
"TSF","2020/08",108,150,0,42,0,108,0,0,0,0,0
"VBS","2020/08",60,98,73,5,16,29,0,2,42,4,0
"AAR","2020/09",85,105,1,0,5,19,5,4,71,1,0
"ADO","2020/09",113,141,57,0,3,49,1,2,83,3,0
"AEP","2020/09",140,204,0,0,70,0,134,0,0,0,0
"AFL","2020/09",108,84,0,1,2,11,0,2,20,38,9
"AMS","2020/09",119,170,0,47,1,113,0,0,9,0,0
"AMV","2020/09",183,187,30,0,2,33,0,10,141,0,0
"APB","2020/09",209,287,6,59,87,93,0,12,36,0,0
"BBV","2020/09",77,83,0,1,3,20,2,5,24,27,0
"CAC","2020/09",83,144,88,0,1,60,0,10,65,6,2
"CHG","2020/09",33,120,1,0,1,67,0,13,32,7,0
"CPL","2020/09",59,257,233,0,6,163,22,35,30,1,0
"CRC","2020/09",98,140,49,7,1,95,0,4,33,0,0
"DNR","2020/09",21,69,36,0,8,18,0,17,22,3,1
"ENL","2020/09",110,159,120,0,16,35,0,13,91,3,0
"FNB","2020/09",2,1,1,0,0,0,0,0,1,0,0
"FSG","2020/09",104,124,64,0,1,47,0,2,52,22,0
"HFP","2020/09",36,120,105,0,2,73,0,5,29,10,1
"HSS","2020/09",51,121,52,0,16,36,5,16,46,2,0
"IFM","2020/09",102,132,0,0,0,29,0,30,72,1,0
"JAL","2020/09",11,11,0,0,0,0,11,0,0,0,0
"JLM","2020/09",94,211,1,12,42,70,1,46,35,4,0
"JTA","2020/09",81,153,128,0,0,62,0,15,66,3,7
"KPC","2020/09",88,155,155,0,3,41,0,37,73,1,0
"LAF","2020/09",34,110,66,4,7,52,0,14,28,5,0
"LJS","2020/09",93,151,99,0,1,56,0,26,66,1,0
"LMV","2020/09",111,149,103,0,4,51,0,2,88,3,0
"LRR","2020/09",130,210,0,70,10,130,0,0,0,0,0
"MCG","2020/09",131,186,0,16,0,123,2,19,24,2,0
"MEM","2020/09",158,158,0,0,127,31,0,0,0,0,0
"MLS","2020/09",58,126,27,0,5,31,0,19,59,12,0
"MMM","2020/09",47,110,0,0,10,44,0,5,38,11,1
"MPS","2020/09",63,96,89,0,6,22,0,15,40,6,0
"MRS","2020/09",63,126,108,0,3,44,30,7,32,7,0
"MZA","2020/09",85,122,0,0,4,48,1,2,67,0,0
"RNN","2020/09",66,128,94,0,19,30,0,27,48,3,0
"RRC","2020/09",395,448,0,53,181,214,0,0,0,0,0
"TOS","2020/09",134,140,6,0,1,139,0,0,0,0,0
"TSF","2020/09",107,146,0,41,3,99,0,0,3,0,0
"VBS","2020/09",56,74,0,0,1,11,0,1,48,12,0
"AAR","2020/10",98,98,3,0,4,13,4,0,77,0,0
"ADO","2020/10",167,159,110,0,14,45,1,3,93,3,0
"AEP","2020/10",19,29,0,0,13,0,16,0,0,0,0
"AFL","2020/10",95,90,0,1,25,11,1,1,28,20,3
"AMS","2020/10",69,179,130,17,0,120,0,2,40,0,0
"AMV","2020/10",159,166,44,0,8,21,0,0,127,10,0
"APB","2020/10",137,185,158,4,6,65,2,10,85,11,0
"BBV","2020/10",74,91,29,0,3,29,2,4,32,16,3
"CAC","2020/10",59,90,18,0,1,27,0,3,52,7,0
"CHG","2020/10",29,110,25,0,7,55,1,18,27,2,0
"CPL","2020/10",150,519,519,0,2,362,122,7,26,0,0
"CRC","2020/10",116,164,63,0,2,43,73,4,42,0,0
"DNR","2020/10",47,88,28,0,16,17,0,14,39,2,0
"ENL","2020/10",62,115,54,0,4,47,0,14,50,0,0
"FSG","2020/10",145,127,56,0,14,33,3,2,62,9,3
"HFP","2020/10",33,142,139,0,0,98,0,12,27,5,0
"HSS","2020/10",47,93,15,0,10,19,1,24,37,2,0
"IFM","2020/10",75,136,110,0,1,54,21,17,41,2,0
"JAL","2020/10",25,25,0,0,0,0,25,0,0,0,0
"JLM","2020/10",201,246,57,15,4,163,0,27,36,1,0
"JTA","2020/10",64,79,10,0,3,41,3,1,19,9,1
"KPC","2020/10",146,209,209,0,1,95,0,8,103,2,0
"LAF","2020/10",20,119,94,0,9,75,2,10,20,2,1
"LJS","2020/10",94,135,58,0,1,41,2,16,59,14,1
"LMV","2020/10",97,139,118,0,2,46,0,3,87,1,0
"LRR","2020/10",128,302,0,174,14,114,0,0,0,0,0
"MCG","2020/10",133,188,63,12,5,121,2,7,37,2,1
"MEM","2020/10",124,136,0,0,119,0,0,8,6,3,0
"MLS","2020/10",61,171,102,0,4,64,0,30,57,16,0
"MMM","2020/10",46,106,0,0,3,47,0,6,40,9,1
"MRS","2020/10",68,183,105,0,10,102,2,9,59,1,0
"MZA","2020/10",90,176,95,0,6,76,1,5,81,6,0
"RDB","2020/10",0,3,0,0,3,0,0,0,0,0,0
"RNN","2020/10",26,54,37,0,2,14,0,14,23,0,0
"RRC","2020/10",335,410,0,70,170,170,0,0,0,0,0
"TOS","2020/10",0,16,16,0,2,14,0,0,0,0,0
"TSF","2020/10",120,189,0,67,2,119,0,0,0,1,0
"VBS","2020/10",59,133,1,42,49,7,0,4,11,20,0
"AAR","2020/11",100,113,87,0,5,20,2,15,62,2,7
"ADO","2020/11",124,138,80,0,6,36,1,1,92,2,0
"AEP","2020/11",29,65,0,2,36,0,27,0,0,0,0
"AFL","2020/11",118,108,0,2,57,25,1,1,6,11,4
"AMS","2020/11",59,118,112,2,2,54,0,4,54,2,0
"AMV","2020/11",143,148,31,0,2,25,0,11,108,2,0
"APB","2020/11",135,210,78,34,59,39,0,20,56,1,1
"BBV","2020/11",57,82,0,3,3,22,6,4,37,7,0
"CAC","2020/11",30,56,50,0,0,11,0,19,23,3,0
"CHG","2020/11",61,133,118,0,5,31,1,29,65,1,0
"CPL","2020/11",94,261,246,0,0,164,80,6,11,0,0
"CRC","2020/11",166,218,207,0,4,64,134,4,12,0,0
"DNR","2020/11",43,81,0,4,2,28,2,9,30,6,0
"ENL","2020/11",40,132,51,0,34,36,0,19,40,3,0
"FNB","2020/11",0,1,0,0,0,1,0,0,0,0,0
"FSG","2020/11",205,441,0,0,8,251,163,1,11,7,0
"HFP","2020/11",40,100,87,0,4,40,0,13,41,2,0
"HSS","2020/11",118,334,310,0,13,190,96,19,16,0,0
"IFM","2020/11",105,159,159,0,0,57,71,4,27,0,0
"JAL","2020/11",6,6,0,0,0,0,6,0,0,0,0
"JLM","2020/11",214,333,104,22,13,227,0,18,45,5,0
"JTA","2020/11",43,83,1,0,6,7,6,18,28,14,2
"KPC","2020/11",93,140,140,0,0,43,6,24,66,1,0
"LAF","2020/11",27,116,39,0,5,61,1,14,29,4,1
"LJS","2020/11",60,75,3,0,0,16,8,8,43,0,0
"LMV","2020/11",75,116,114,0,3,41,1,2,67,1,0
"LRR","2020/11",147,302,1,145,15,142,0,0,0,0,0
"MCG","2020/11",69,154,136,0,4,56,0,30,54,7,2
"MEM","2020/11",38,114,0,0,4,8,0,69,31,2,0
"MLS","2020/11",40,116,0,0,4,47,1,18,38,7,0
"MMM","2020/11",31,105,0,0,10,47,2,3,19,24,0
"MPS","2020/11",1,1,0,0,0,1,0,0,0,0,0
"MRS","2020/11",138,191,62,7,1,95,74,1,11,2,0
"MZA","2020/11",70,153,145,0,9,76,0,8,57,3,0
"RDB","2020/11",3,5,0,0,3,2,0,0,0,0,0
"RNN","2020/11",78,146,74,12,54,32,3,21,23,1,0
"RRC","2020/11",266,504,219,0,0,250,243,0,4,6,1
"TOS","2020/11",94,116,0,0,13,89,2,1,2,6,3
"TSF","2020/11",116,211,0,68,37,106,0,0,0,0,0
"VBS","2020/11",62,129,0,64,58,1,0,1,1,3,0
"AAR","2020/12",122,198,118,0,4,76,3,10,102,3,0
"ADO","2020/12",44,46,46,0,5,12,0,0,29,0,0
"AEP","2020/12",57,72,0,0,22,0,50,0,0,0,0
"AFL","2020/12",111,106,0,7,18,40,1,1,21,15,3
"AMS","2020/12",36,130,128,0,4,88,0,3,35,0,0
"AMV","2020/12",128,144,6,0,0,28,3,1,107,5,0
"APB","2020/12",85,121,115,0,5,37,0,8,66,3,2
"BBV","2020/12",32,53,0,0,1,20,1,5,17,3,5
"CAC","2020/12",63,72,33,0,0,3,0,17,47,4,0
"CHG","2020/12",32,131,0,0,0,47,3,10,29,42,0
"CPL","2020/12",88,207,177,0,5,111,50,9,32,0,0
"DNR","2020/12",27,70,32,0,0,21,3,14,26,5,1
"ENL","2020/12",39,127,1,0,7,37,1,11,33,38,0
"FNB","2020/12",0,16,16,0,0,16,0,0,0,0,0
"FSG","2020/12",115,257,5,0,3,136,92,0,6,3,16
"HFP","2020/12",84,94,31,0,2,29,0,5,55,3,0
"HSS","2020/12",56,157,88,0,17,59,27,24,29,0,0
"IFM","2020/12",32,112,55,0,1,37,3,48,19,4,0
"JLM","2020/12",141,204,68,11,15,132,0,10,32,2,0
"JTA","2020/12",69,90,3,0,0,51,4,12,15,6,1
"KPC","2020/12",70,122,122,0,2,42,2,19,56,1,0
"LAF","2020/12",37,106,2,8,11,56,4,9,13,2,1
"LJS","2020/12",10,9,8,0,0,2,0,1,5,0,1
"LMV","2020/12",61,97,69,0,3,36,0,1,54,2,0
"LRR","2020/12",126,243,0,64,53,116,10,0,0,0,0
"MCG","2020/12",90,98,39,0,0,16,1,18,49,13,1
"MEM","2020/12",38,131,124,0,30,14,1,43,37,6,0
"MLS","2020/12",60,129,125,0,4,29,2,35,53,5,1
"MRS","2020/12",56,125,122,1,11,35,1,29,42,5,1
"MZA","2020/12",88,117,47,0,14,31,1,2,68,1,0
"RNN","2020/12",56,129,23,23,37,11,0,14,15,29,0
"RRC","2020/12",168,328,103,0,5,172,127,0,22,2,0
"TOS","2020/12",83,113,27,1,4,96,1,3,4,4,0
"TSF","2020/12",164,175,0,0,11,164,0,0,0,0,0
"VBS","2020/12",58,104,89,0,2,36,6,2,51,7,0
"AAR","2021/01",74,135,111,0,6,44,0,8,65,12,0
"ADO","2021/01",117,122,1,0,7,52,0,2,56,4,0
"AEP","2021/01",132,209,0,0,92,0,117,0,0,0,0
"AFL","2021/01",79,88,0,6,3,26,0,2,17,29,5
"AMS","2021/01",18,57,56,0,0,38,1,0,18,0,0
"AMV","2021/01",247,311,192,0,1,86,98,2,123,1,0
"APB","2021/01",139,301,0,0,4,170,105,3,18,1,0
"BBV","2021/01",50,71,0,2,0,18,1,1,37,8,3
"CAC","2021/01",59,91,58,0,0,24,0,7,54,6,0
"CPL","2021/01",161,312,312,0,0,151,161,0,0,0,0
"DNR","2021/01",29,90,59,0,14,24,2,21,26,3,0
"ENL","2021/01",14,26,0,4,1,16,0,2,3,0,0
"FSG","2021/01",138,326,1,0,6,182,91,0,26,21,0
"HFP","2021/01",45,98,30,0,1,37,0,5,47,7,1
"HSS","2021/01",0,7,0,0,1,5,0,1,0,0,0
"JAL","2021/01",20,20,0,0,0,0,20,0,0,0,0
"JLM","2021/01",202,302,63,30,3,173,0,22,59,14,0
"JTA","2021/01",5,17,0,0,1,5,1,0,5,5,0
"KPC","2021/01",87,155,155,0,0,55,8,31,58,3,0
"LAF","2021/01",19,119,118,0,1,88,0,10,19,1,0
"LJS","2021/01",111,147,1,17,0,98,4,4,20,4,0
"LMV","2021/01",97,126,124,0,1,40,17,2,62,4,0
"LRR","2021/01",128,192,0,32,34,105,19,0,2,0,0
"MCG","2021/01",76,104,83,0,0,31,0,10,41,22,0
"MEM","2021/01",37,119,0,1,31,9,2,57,8,11,0
"MLS","2021/01",2,5,0,0,0,0,0,1,2,2,0
"MMM","2021/01",61,112,0,2,12,44,0,5,37,10,2
"MPS","2021/01",0,1,0,0,0,1,0,0,0,0,0
"MRS","2021/01",110,183,181,3,3,60,56,9,46,6,0
"MZA","2021/01",97,140,77,0,4,80,0,4,51,1,0
"RNN","2021/01",35,132,91,0,15,34,1,44,32,6,0
"RRC","2021/01",168,376,201,0,4,217,136,0,14,5,0
"TOS","2021/01",13,38,30,0,0,29,0,1,6,1,1
"TSF","2021/01",146,165,0,20,39,106,0,0,0,0,0
"VBS","2021/01",80,125,14,26,63,9,0,4,18,3,2
"AAR","2021/02",98,119,14,8,6,38,1,8,56,2,0
"ADO","2021/02",116,142,130,0,11,43,0,4,82,1,0
"AEP","2021/02",124,209,0,2,89,8,110,0,0,0,0
"AFL","2021/02",106,93,0,6,32,14,0,3,14,21,3
"AMS","2021/02",69,185,166,1,2,102,2,6,65,7,0
"AMV","2021/02",120,149,48,0,0,44,1,2,100,2,0
